index,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,Hourly,Employer provided,Min Salary,Max Salary,Avg Salary,Company_text,State,Age,Python,Tableau,Excel,Power BI,SAS,SQL,SSIS
1,Entry Level Data Conversion Analyst,$35K - $71K (Glassdoor est.),"As the Data Conversion Analyst, you will be converting customer data from competitive databases to Reynolds databases. You will also complete migration of customer data from one Reynolds hardware platform to another. This involves maintaining a good working relationship with customers throughout the conversion or migration process to ensure quality results. You will also be supporting remote and field-based trainers and field engineers on the conversion and migration processes. Through this, you will develop a good working knowledge of competitive products, keep abreast of enhancements to the Reynolds product lines as well as develop knowledge of system environment, integration, and system connectivity for different product lines.
Requirements:
Bachelor’s degree in MIS, Computer Science, or related field; open to entry-level candidates",3.4,"Reynolds and Reynolds
3.4","Dayton, OH",1001 to 5000 Employees,1866,Company - Private,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),0,0,35,71,53.0,Reynolds and Reynolds, OH,156,0,0,0,0,0,0,0
3,Senior Data Analyst with Visualization (No sponsorship candidates),$63K - $149K (Glassdoor est.),"Senior Data Analyst with Visualization (No sponsorship candidates)
The Sales Enablement team of Meta Reality Labs is looking for an experienced operations data analyst to help with operational data analysis, design and develop visualizations, dashboards for the tools and processes supported by the Sales Enablement Team.
The primary objective of this position is to enable the Technical Solution Leads and the support teams to decipher operational data in a meaningful way - through dashboards, visualizations and enable them to make business and technical decisions - to meet customer and partner requirements and scale the business. The goal is to improve productivity of the internal teams, increase operating rigor and meet all compliance requirements. The objective is to support the operations of our systems by displaying operational metrics and data sets needed to explore any issues and performance",3.7,"HCL Technologies
3.7","Burlingame, CA",10000+ Employees,1991,Company - Public,Computer Hardware & Software,Information Technology,$5 to $10 billion (USD),0,0,63,149,106.0,HCL Technologies, CA,31,0,0,0,0,0,0,0
4,Data Analyst,$43K - $88K (Glassdoor est.),"Dematic is looking for a Data Analyst that will be responsible for creating and providing financial reporting, analysis and insight to support strategic, operational, and financial decision making. This role will report to the Sr. Manager, FP&A for the Global Software Organization. The ideal candidate will be highly analytical with good interpersonal skills and a commercial focus with a keen interest in using and developing reporting and tooling. This is a critical role in developing an agile organization based on data insight.
What we offer:
Job Description -
Career Development
Competitive Compensation and Benefits
Pay Transparency
Global Opportunities",3.8,"Dematic
3.8","Atlanta, GA",5001 to 10000 Employees,1819,Subsidiary or Business Segment,Logistics & Supply Chain,Transportation & Logistics,Unknown / Non-Applicable,0,0,43,88,65.5,Dematic, GA,203,0,0,0,0,0,0,0
5,Data Analyst,Employer Provided Salary:$45 - $65 Per Hour,"We are looking for a passionate certified Data Analyst. The successful candidate will turn data into information, information into insight and insight into business decisions. Data analyst responsibilities include conducting full lifecycle analysis to include requirements, activities and design. Data analysts will develop analysis and reporting capabilities. They will monitor performance and quality control plans to identify improvements.
Responsibilities
Interpret data, analyze results using statistical techniques and provide ongoing reports
Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality
Acquire data from primary or secondary data sources and maintain databases/data systems",4.2,"WorkCog
4.2","Atlanta, GA",51 to 200 Employees,2017,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,1,1,45,65,55.0,WorkCog, GA,5,0,0,0,0,0,0,0
7,North America Data Analyst,$56K - $100K (Glassdoor est.),"This role is responsible for collecting, interpreting and communicating Public Affairs, Communications, and Sustainability (PACS) insights and partnering with Operating Unit (OU) leads to convert them into actionable strategies, decisions and tactics. The ideal candidate will serve as a conduit between the PACS Services team and the OU, establishing a constant connection between both groups and forming a two-way communication channel that can be leveraged to achieve both OU and global business objectives. The role is critical to scaling PACS Services insights and tailoring them to help each OU reach its goals and influence stakeholders.
Responsibilities
Define OU-specific PACS KPIs and outline the optimal means of tracking them over time
Help quantify the success of PACS communications campaigns and initiatives
Reputation Research; Reputation Management; Taking Initiative; Strategic Planning; Consumer Behavior Insights; Corporate Reputation; Presentations; Microsoft Power BI; Strategic Recommendations; Corporate Reputation Management; Microsoft Excel; Data Insights; Analytics Insights",4.0,"The Coca-Cola Company
4.0","Atlanta, GA",10000+ Employees,1886,Company - Public,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD),0,0,56,100,78.0,The Coca-Cola Company, GA,136,0,0,1,1,0,0,0
8,Data Analyst,$43K - $85K (Glassdoor est.),"Home Care Assistance is hiring a Data Analyst to join our Data, Analytics and Reporting (DART) team!

As the Data Analyst your primary responsibility is to support the HCA data warehouse and ensure that data is accurate and available for reporting, analytics, and other stakeholders. You will analyze the raw source data using SQL queries and then work as part of a team to develop structures that make the data easier for reporting and analytics users to understand and leverage.

This is a fully remote role.",3.6,"Home Care Assistance
3.6","La Jolla, CA",5001 to 10000 Employees,2002,Company - Private,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),0,0,43,85,64.0,Home Care Assistance, CA,20,0,0,0,0,0,1,1
11,Data Analyst,$65K - $119K (Glassdoor est.),"Come and join the Microsoft Browser Data Science team where we thrive on data to solve high impact business problems! We enable data driven decisions by converting data into insights that enhance customer experiences and improve business performance.

We partner closely with Engineering, Marketing, and Finance teams to answer key questions related to product adoption, engagement, satisfaction and monetization. Our work requires regular collaboration with our partner teams as well as technical expertise to mine big datasets and discover key insights.

To support this mission, we are looking for Data Analysts who have a passion for analyzing big data to uncover customer usage insights and driving those insights into actions with our partner teams.

The ideal candidate should be self-directed, passionate about data, and focused on delivering the right results. The candidate should be able to understand product strategy and business goals and apply programming acumen and a breadth of tools, data sources and analytical techniques to answer a wide range of high-impact business questions and present the insights in a concise and effective manner. Experience partnering with data scientists to develop business metrics and related insights is a big plus. Technical aptitude and programming skills are necessary in this role. The candidate should be an effective communicator capable of independently driving issues to resolution and communicating insights to different audiences ranging from executives to engineering feature teams.",4.4,"Microsoft
4.4","Redmond, WA",10000+ Employees,1975,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),0,0,65,119,92.0,Microsoft, WA,47,0,0,0,0,0,0,0
14,Data Analyst,Employer Provided Salary:$52K - $75K,"When you’re the best, we’re the best. We instill an environment where employees feel engaged, satisfied and able to contribute their unique skills and talents. We provide extensive opportunities for personal and professional development, building both employee competence and organizational capability to fuel exceptional performance now and in the future.
Summary:
In this role, you will collaborate with Business Analysts and Data Architects. You will document current usage of data and its appropriate storage structures for use within the current business unit and across other lines of business. You will work with multiple data sources and across business lines to develop new data capabilities. You will create data models, data catalog, define metadata and recommend usage of such data. You will present recommendations to management and external stakeholders and provide guidance in selecting alternatives with impact to the team and the functional area’s bottom line. You will provide guidance, training, and mentorship to other analysts and team members.
$51,900.00 - $75,150.00",4.0,"Vizient, Inc.
4.0","Irving, TX",1001 to 5000 Employees,1977,Company - Private,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),0,1,52,75,63.5,"Vizient, Inc.", TX,45,0,0,0,0,0,0,0
16,Data Analyst (10-15 hours/week),$55K - $133K (Glassdoor est.),"RedCloud is seeking a Data Analyst (10 – 15 hours/week) to support immediate client operations. RedCloud Consulting is a business and IT consulting company with local Puget Sound Enterprise and Mid-sized clients. We have been recognized by Seattle Business Magazine and ranked #1 on their “Best Companies to Work for in Washington” for Mid-Sized Businesses list, awarded #1 Fastest Growing Company in Washington by Puget Sound Business Journal, and named on the Inc. 500/5000 list.


Responsibilities include but are not limited to:
Establish weekly insights for sales managers and drive appropriate actions (ex: follow up actions to close with seller).",4.9,"Redcloud Consulting
4.9","Redmond, WA",51 to 200 Employees,1995,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,0,0,55,133,94.0,Redcloud Consulting, WA,27,0,0,0,0,0,0,0
26,"Data Entry Analyst (East Coast, Remote)",$26K - $59K (Glassdoor est.),"Data Entry Analyst

The Company:

Coleman Research is a leading global expert network and primary research company serving investment management firms, management consultancies, hedge funds, mutual funds, and private equity firms with their due diligence processes. Our network of roughly 250,000 professionals provides expertise and insights on industries ranging from healthcare to technology to retail and beyond. We connect clients and experts via phone and in-person consultations, conference events, custom surveys and moderated roundtable events. Headquartered in the heart of New York City, with additional offices in Hong Kong, London, Raleigh and Los Angeles, our 200+ employees collaborate across the globe to meet our client needs.",4.1,"Coleman Research
4.1","Raleigh, NC",201 to 500 Employees,2003,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,0,0,26,59,42.5,Coleman Research, NC,19,0,0,0,0,0,0,0
